dataset,method,setting,roc_auc,pr_auc,precision,recall,f1,runtime_seconds,n_points,n_anomalies,anomaly_ratio,source_file,dataset_label,accuracy
normality_1.csv,Dense Autoencoder,offline,0.841,0.209,0.25,0.25,0.25,5.0102,23688,980,0.0414,offline_baseline_results.csv,Normality 1,0.9379
normality_1.csv,Isolation Forest,offline,0.8395,0.5239,0.602,0.602,0.602,0.3826,23688,980,0.0414,offline_baseline_results.csv,Normality 1,0.9671
normality_1.csv,SAND,streaming,0.6067,0.0574,0.0418,0.0418,0.0418,70.1927,23688,980,0.0414,sand_streaming_results.csv,Normality 1,0.9207
normality_1.csv,Batch Dense Autoencoder,streaming_variant_1,0.8373,0.2148,0.2786,0.2786,0.2786,15.1045,23688,980,0.0414,variant1_batch_results.csv,Normality 1,0.9403
normality_1.csv,Batch Isolation Forest,streaming_variant_1,0.7459,0.4254,0.4939,0.4939,0.4939,1.409,23688,980,0.0414,variant1_batch_results.csv,Normality 1,0.9581
normality_1.csv,Rolling Dense Autoencoder,streaming_variant_2,0.8399,0.2063,0.2602,0.2602,0.2602,19.0074,23688,980,0.0414,variant2_rolling_results.csv,Normality 1,0.9388
normality_1.csv,Rolling Isolation Forest,streaming_variant_2,0.7781,0.5129,0.5969,0.5969,0.5969,1.8067,23688,980,0.0414,variant2_rolling_results.csv,Normality 1,0.9666
normality_1.csv,Online Fine-tuning Dense Autoencoder,streaming_variant_2_finetune,0.8368,0.2198,0.2786,0.2786,0.2786,5.4231,23688,980,0.0414,variant2_finetune_autoencoder_results.csv,Normality 1,0.9403
normality_2.csv,Dense Autoencoder,offline,0.4723,0.0696,0.1605,0.1605,0.1605,9.7211,56960,2274,0.0399,offline_baseline_results.csv,Normality 2,0.933
normality_2.csv,Isolation Forest,offline,0.4523,0.0443,0.0207,0.0207,0.0207,0.6968,56960,2274,0.0399,offline_baseline_results.csv,Normality 2,0.9218
normality_2.csv,SAND,streaming,0.5587,0.0472,0.0616,0.0616,0.0616,131.664,56960,2274,0.0399,sand_streaming_results.csv,Normality 2,0.9251
normality_2.csv,Batch Dense Autoencoder,streaming_variant_1,0.5252,0.071,0.1636,0.1636,0.1636,36.4265,56960,2274,0.0399,variant1_batch_results.csv,Normality 2,0.9332
normality_2.csv,Batch Isolation Forest,streaming_variant_1,0.494,0.0968,0.2318,0.2318,0.2318,4.5344,56960,2274,0.0399,variant1_batch_results.csv,Normality 2,0.9387
normality_2.csv,Rolling Dense Autoencoder,streaming_variant_2,0.4847,0.0687,0.1689,0.1689,0.1689,50.019,56960,2274,0.0399,variant2_rolling_results.csv,Normality 2,0.9336
normality_2.csv,Rolling Isolation Forest,streaming_variant_2,0.463,0.159,0.263,0.263,0.263,5.0456,56960,2274,0.0399,variant2_rolling_results.csv,Normality 2,0.9412
normality_2.csv,Online Fine-tuning Dense Autoencoder,streaming_variant_2_finetune,0.4739,0.065,0.1332,0.1332,0.1332,8.2918,56960,2274,0.0399,variant2_finetune_autoencoder_results.csv,Normality 2,0.9308
normality_3.csv,Dense Autoencoder,offline,0.5016,0.0723,0.1521,0.1521,0.1521,11.3845,66559,2597,0.039,offline_baseline_results.csv,Normality 3,0.9338
normality_3.csv,Isolation Forest,offline,0.4785,0.0432,0.0273,0.0273,0.0273,0.67,66559,2597,0.039,offline_baseline_results.csv,Normality 3,0.9241
normality_3.csv,SAND,streaming,0.5729,0.0458,0.0216,0.0216,0.0216,178.5287,66559,2597,0.039,sand_streaming_results.csv,Normality 3,0.9236
normality_3.csv,Batch Dense Autoencoder,streaming_variant_1,0.5375,0.0711,0.1463,0.1463,0.1463,42.5389,66559,2597,0.039,variant1_batch_results.csv,Normality 3,0.9334
normality_3.csv,Batch Isolation Forest,streaming_variant_1,0.5017,0.0937,0.211,0.211,0.211,3.8992,66559,2597,0.039,variant1_batch_results.csv,Normality 3,0.9384
normality_3.csv,Rolling Dense Autoencoder,streaming_variant_2,0.5121,0.0698,0.1548,0.1548,0.1548,56.7139,66559,2597,0.039,variant2_rolling_results.csv,Normality 3,0.934
normality_3.csv,Rolling Isolation Forest,streaming_variant_2,0.4739,0.146,0.2318,0.2318,0.2318,4.8618,66559,2597,0.039,variant2_rolling_results.csv,Normality 3,0.9401
normality_3.csv,Online Fine-tuning Dense Autoencoder,streaming_variant_2_finetune,0.4928,0.0658,0.1336,0.1336,0.1336,9.8,66559,2597,0.039,variant2_finetune_autoencoder_results.csv,Normality 3,0.9324
