domain,n_series,median_length,min_length,max_length,median_anomaly_ratio
OPPORTUNITY,465,30526.0,22229,51115,0.0388915604712671
YAHOO,367,1679.0,740,1679,0.0053603335318642
SMD,281,23702.0,23686,28742,0.022875954923395
KDD21,250,30065.0,6683,899999,0.0033334444481482
GHL,126,200000.0,200000,200000,0.00072
SVDB,115,230399.0,230399,230399,0.069969921744452
NASA-SMAP,108,3666.0,311,8639,0.0020311885729262
NAB,58,4030.0,1125,22693,0.0995803310386054
IOPS,58,120465.5,7577,149160,0.013093476033246
NASA-MSL,54,2216.5,438,6099,0.00301204819277105
ECG,53,229899.0,227899,10828799,0.0486474495321858
Daphnet,45,16639.0,9599,55039,0.1381694597445212
MITDB,32,649999.0,649999,649999,0.05997470765339635
SensorScope,23,29516.0,20732,30492,0.2235875473562839
Occupancy,10,5403.0,2664,9751,0.288361178053514
MGAB,10,99999.0,99999,99999,0.0020000200002
Genesis,6,16219.0,16219,16219,0.0030828041186263
Dodgers,1,50399.0,50399,50399,0.1113315740391674
