Dataset,Metric,Best Method,Score
Normality 1,ROC-AUC,Dense Autoencoder,0.841
Normality 1,PR-AUC,Isolation Forest,0.5239
Normality 1,F1,Isolation Forest,0.602
Normality 1,ACCURACY,Isolation Forest,0.9671
Normality 2,ROC-AUC,SAND,0.5587
Normality 2,PR-AUC,Rolling Isolation Forest,0.159
Normality 2,F1,Rolling Isolation Forest,0.263
Normality 2,ACCURACY,Rolling Isolation Forest,0.9412
Normality 3,ROC-AUC,SAND,0.5729
Normality 3,PR-AUC,Rolling Isolation Forest,0.146
Normality 3,F1,Rolling Isolation Forest,0.2318
Normality 3,ACCURACY,Rolling Isolation Forest,0.9401
